epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.2829,2.22121,5.99686,1.45656,0.00011,0.02444,7e-05,1e-05,1.78531,5.62216,1.21353,0.00013328,0.00013328,0.00013328
2,146.741,1.87617,4.97929,1.20051,0.00079,0.18232,0.00745,0.00456,1.5814,5.25805,1.11103,0.000269447,0.000269447,0.000269447
3,250.799,1.79737,4.04323,1.19881,0.00177,0.34847,0.04739,0.02704,1.53443,4.79486,1.13335,0.000400007,0.000400007,0.000400007
4,341.977,1.7638,3.52741,1.22964,0.00298,0.65486,0.25511,0.13929,1.55112,4.40038,1.19643,0.000524958,0.000524958,0.000524958
5,436.248,1.69259,3.19364,1.21527,1,0.00999,0.27513,0.14193,1.71065,4.31455,1.287,0.000644302,0.000644302,0.000644302
