epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,181.486,1.18846,1.12273,1.04323,0.80094,0.78269,0.83203,0.47833,1.48542,1.07027,1.22177,0.000255731,0.000255731,0.000255731
37,185.994,1.16515,1.0833,1.05569,0.76867,0.82993,0.83323,0.49388,1.42792,1.02877,1.19801,0.000239238,0.000239238,0.000239238
38,190.876,1.19044,1.07911,1.04669,0.86396,0.77081,0.84746,0.49496,1.47868,1.06176,1.20616,0.000222744,0.000222744,0.000222744
39,195.384,1.16744,1.0811,1.05797,0.82656,0.8075,0.84556,0.4934,1.45442,1.02625,1.20015,0.000206251,0.000206251,0.000206251
40,199.931,1.15497,1.04999,1.03462,0.77682,0.83517,0.84934,0.49462,1.45251,1.00565,1.19755,0.000189757,0.000189757,0.000189757
41,225.597,1.15398,1.17252,1.08836,0.7625,0.80608,0.83401,0.47787,1.47704,0.99206,1.2164,0.000173264,0.000173264,0.000173264
42,230.223,1.16452,1.11989,1.10254,0.74801,0.83346,0.84014,0.49386,1.44414,0.97423,1.19259,0.000156771,0.000156771,0.000156771
43,234.647,1.12952,1.08639,1.07907,0.82842,0.76848,0.85311,0.50219,1.44608,0.96456,1.19767,0.000140277,0.000140277,0.000140277
44,238.776,1.126,1.10832,1.06129,0.89336,0.738,0.8536,0.50558,1.46454,0.98235,1.21073,0.000123784,0.000123784,0.000123784
45,242.916,1.09597,1.05604,1.07043,0.83729,0.77734,0.8517,0.50525,1.45821,0.95967,1.20689,0.00010729,0.00010729,0.00010729
46,247.128,1.09509,1.03392,1.08359,0.84745,0.77238,0.84675,0.50729,1.4612,0.95787,1.20531,9.0797e-05,9.0797e-05,9.0797e-05
47,251.567,1.05982,1.01295,1.05587,0.84191,0.78393,0.8425,0.50304,1.46833,0.97046,1.20808,7.43036e-05,7.43036e-05,7.43036e-05
48,256.186,1.1034,1.05846,1.06218,0.84268,0.78794,0.84586,0.50236,1.48568,0.96873,1.21513,5.78102e-05,5.78102e-05,5.78102e-05
49,260.29,1.04335,1.01935,1.06118,0.84576,0.79147,0.85077,0.50448,1.48133,0.96376,1.21331,4.13168e-05,4.13168e-05,4.13168e-05
50,264.789,1.06989,1.00602,1.03813,0.79101,0.80222,0.84974,0.50349,1.48224,0.96206,1.21261,2.48234e-05,2.48234e-05,2.48234e-05
1,6.25228,2.2523,6.15001,1.52545,0,0,0,0,1.74327,4.37144,1.2781,0.00013328,0.00013328,0.00013328
2,10.1821,1.91897,5.03934,1.2639,0.00055,0.09953,0.00365,0.00105,1.60141,4.24943,1.17833,0.000272169,0.000272169,0.000272169
3,14.1321,1.7969,4.18225,1.19634,0.00051,0.09167,0.03057,0.01741,1.62495,4.13725,1.23784,0.000408253,0.000408253,0.000408253
4,17.9947,1.73763,3.52999,1.1983,0.00166,0.34286,0.12627,0.07287,1.54195,3.73781,1.1727,0.000541534,0.000541534,0.000541534
5,21.8739,1.64173,3.00056,1.17037,1,0.02304,0.28729,0.16227,1.58567,3.21433,1.16447,0.000672011,0.000672011,0.000672011
6,25.5432,1.71837,3.11244,1.21174,0.92044,0.02918,0.32563,0.18844,1.6175,3.32578,1.21851,0.000791767,0.000791767,0.000791767
7,29.257,1.64958,2.91789,1.20954,0.92226,0.15655,0.41197,0.23061,1.65491,2.91817,1.23782,0.00078352,0.00078352,0.00078352
8,33.0932,1.62253,2.79086,1.21467,0.45628,0.26355,0.42311,0.21842,1.68025,2.46513,1.24785,0.000775273,0.000775273,0.000775273
9,36.6556,1.62989,2.62929,1.17542,0.53806,0.48039,0.51153,0.28865,1.54193,1.87492,1.18915,0.000767026,0.000767026,0.000767026
10,40.2597,1.56934,2.41574,1.212,0.58667,0.45233,0.49372,0.22836,1.8376,2.16291,1.32334,0.00075878,0.00075878,0.00075878
11,43.8799,1.6023,2.33939,1.21318,0.6608,0.58783,0.67058,0.37773,1.51221,1.69523,1.20805,0.000750533,0.000750533,0.000750533
12,47.7476,1.52409,2.1259,1.18829,0.61122,0.582,0.64083,0.34913,1.55797,1.75663,1.17072,0.000742286,0.000742286,0.000742286
13,51.3558,1.4792,2.0753,1.10781,0.65728,0.65625,0.71069,0.40599,1.49051,1.53476,1.15947,0.00073404,0.00073404,0.00073404
14,54.9227,1.44244,1.85545,1.12962,0.70569,0.66385,0.7046,0.39906,1.57342,1.63827,1.21384,0.000725793,0.000725793,0.000725793
15,58.6351,1.43391,1.8329,1.14011,0.70314,0.68157,0.72289,0.40079,1.55026,1.5352,1.20413,0.000717546,0.000717546,0.000717546
16,63.0628,1.46856,1.7433,1.14708,0.66747,0.68464,0.73129,0.42775,1.49692,1.41588,1.19011,0.000709299,0.000709299,0.000709299
17,66.8326,1.41724,1.70695,1.1419,0.67915,0.73609,0.75396,0.42838,1.49272,1.3717,1.19691,0.000701053,0.000701053,0.000701053
18,70.6175,1.39662,1.67898,1.10461,0.73879,0.73996,0.76292,0.44651,1.46068,1.33911,1.1898,0.000692806,0.000692806,0.000692806
19,74.367,1.36363,1.50848,1.1312,0.77402,0.74507,0.79151,0.45985,1.4792,1.34215,1.19007,0.000684559,0.000684559,0.000684559
20,78.2562,1.39248,1.57477,1.13626,0.77081,0.73309,0.81177,0.46233,1.54011,1.39324,1.22933,0.000676313,0.000676313,0.000676313
21,81.8729,1.46352,1.58882,1.1655,0.70148,0.80545,0.78611,0.47216,1.43172,1.22443,1.18978,0.000668066,0.000668066,0.000668066
22,85.4504,1.36824,1.50315,1.11725,0.75513,0.79197,0.81814,0.48549,1.43644,1.19442,1.18541,0.000659819,0.000659819,0.000659819
23,89.2046,1.45039,1.48953,1.13938,0.68047,0.58541,0.70503,0.35888,1.83761,1.57918,1.36473,0.000651573,0.000651573,0.000651573
24,92.9163,1.47765,1.50327,1.16737,0.82678,0.70809,0.8151,0.4754,1.4589,1.13337,1.19834,0.000643326,0.000643326,0.000643326
25,96.6817,1.34166,1.40064,1.08583,0.77856,0.78328,0.81349,0.4809,1.45692,1.10477,1.20611,0.000635079,0.000635079,0.000635079
26,100.416,1.31904,1.3097,1.09995,0.75147,0.71009,0.78784,0.46526,1.45438,1.27759,1.19911,0.000626832,0.000626832,0.000626832
27,104.291,1.36919,1.28937,1.08024,0.82037,0.75955,0.8306,0.4823,1.51425,1.11143,1.22115,0.000618586,0.000618586,0.000618586
28,108.047,1.30594,1.34202,1.10102,0.78845,0.7975,0.83619,0.50515,1.45293,1.13475,1.20278,0.000610339,0.000610339,0.000610339
29,111.822,1.36429,1.27033,1.11541,0.81191,0.68615,0.80041,0.45989,1.50469,1.36202,1.21617,0.000602092,0.000602092,0.000602092
30,115.938,1.30014,1.2234,1.08285,0.77678,0.74823,0.79844,0.46465,1.45223,1.18794,1.20053,0.000593846,0.000593846,0.000593846
31,119.572,1.29937,1.24377,1.11064,0.74865,0.8179,0.82078,0.4736,1.48114,1.04736,1.21453,0.000585599,0.000585599,0.000585599
32,123.393,1.23915,1.12344,1.07853,0.75394,0.78608,0.79924,0.47634,1.46086,1.10061,1.20832,0.000577352,0.000577352,0.000577352
33,127.025,1.26571,1.18251,1.0942,0.78997,0.7342,0.81569,0.47366,1.47367,1.04949,1.21047,0.000569106,0.000569106,0.000569106
34,130.731,1.26468,1.12883,1.0584,0.83871,0.74115,0.82621,0.47478,1.53524,1.19523,1.23778,0.000560859,0.000560859,0.000560859
35,134.434,1.29878,1.04795,1.09635,0.80574,0.73918,0.81222,0.47262,1.49853,1.21931,1.22936,0.000552612,0.000552612,0.000552612
36,138.225,1.22298,1.09991,1.0609,0.84319,0.76441,0.83515,0.48275,1.49645,1.1129,1.22763,0.000544365,0.000544365,0.000544365
37,142.072,1.21759,1.03794,1.07563,0.80301,0.77457,0.82442,0.47299,1.4831,1.22359,1.2158,0.000536119,0.000536119,0.000536119
38,145.835,1.22113,1.03265,1.05687,0.81305,0.7772,0.83145,0.47936,1.46968,1.11041,1.21521,0.000527872,0.000527872,0.000527872
